Tools,Vulnerability name,access_control,arithmetic,denial_service,reentrancy,unchecked_low_calls,bad_randomness,front_running,time_manipulation,short_addresses,Other,Ignore
maian,is_lock_vulnerable,,,,,,,,,,TRUE,
maian,is_prodigal_vulnerable,TRUE,,,,,,,,,,
maian,is_suicidal_vulnerable,TRUE,,,,,,,,,,
manticore,Delegatecall to user controlled address,TRUE,,,,,,,,,,
manticore,Delegatecall to user controlled function,TRUE,,,,,,,,,,
manticore,INVALID instruction,,,,,,,,,,TRUE,
manticore,Potential reentrancy vulnerability,,,,TRUE,,,,,,,
manticore,Potentially reading uninitialized memory at instruction,,,,,,,,,,TRUE,
manticore,Potentially reading uninitialized storage,,,,,,,,,,TRUE,
manticore,Reachable ether leak to sender,TRUE,,,,,,,,,,
manticore,Reachable ether leak to sender via argument,TRUE,,,,,,,,,,
manticore,Reachable external call to sender,TRUE,,,,,,,,,,
manticore,Reachable external call to sender via argument,TRUE,,,,,,,,,,
manticore,Reachable SELFDESTRUCT,TRUE,,,,,,,,,,
manticore,Reentrancy multi-million ether bug,,,,TRUE,,,,,,,
manticore,Returned value at CALL instruction is not used,,,,,TRUE,,,,,,
manticore,Returned value at CALL instruction is not used,,,,,TRUE,,,,,,
manticore,Unsigned integer overflow at ADD instruction,,TRUE,,,,,,,,,
manticore,Unsigned integer overflow at MUL instruction,,TRUE,,,,,,,,,
manticore,Unsigned integer overflow at SUB instruction,,TRUE,,,,,,,,,
manticore,Warning BLOCKHASH instruction used,,,,,,,,,,TRUE,
manticore,Warning NUMBER instruction used,,,,,,,,,,TRUE,
manticore,Warning ORIGIN instruction used,TRUE,,,,,,,,,,
manticore,Warning TIMESTAMP instruction used,,,,,,,,TRUE,,,
mythril-0.23.5,Call data forwarded with delegatecall(),TRUE,,,,,,,,,,
mythril-0.23.5,Delegatecall to user-supplied address,TRUE,,,,,,,,,,
mythril-0.23.5,Dependence on predictable environment variable,,,,,,,,,,TRUE,
mythril-0.23.5,Dependence on predictable variable,,,,,,,,,,TRUE,
mythril-0.23.5,Unprotected Ether Withdrawal,TRUE,,,,,,,,,,
mythril-0.23.5,Exception State,,,,,,,,,,TRUE,
mythril-0.23.5,Integer Arithmetic Bugs,,TRUE,,,,,,,,,
mythril-0.23.5,External Call To User-Supplied Address,,,,TRUE,,,,,,,
