bug_id,Solhint_rule_id,Solhint_level,Oyente_rule_id,Oyente_level,HoneyBadger_rule_id,HoneyBadger_level,Osiris_rule_id,Osiris_level,Securify_rule_id,Securify_level,Manticore_rule_id,Manticore_level,SmartCheck_rule_id,SmartCheck_level,Slither_rule_id,Slither_level,Mythril_rule_id,Mythril_level,Maian_rule_id,Maian_level,Conkas_rule_id,Conkas_level,Value
dataset/front_running/ERC20.sol:2,Ignore_41,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:18,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:22,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:23,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:24,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:26,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:27,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:29,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:30,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:35,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:36,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:37,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:40,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:41,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:46,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:47,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:48,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:50,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:51,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:56,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:57,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:58,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:60,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:61,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:67,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:68,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:69,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:70,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:76,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:77,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:78,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,Ignore_32,warning,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:80,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,Ignore_29,warning,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:82,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,Ignore_29,warning,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:84,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,Ignore_29,warning,Ignore_18,note,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:86,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,Ignore_38,warning,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:87,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:88,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:90,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,Ignore_11,note,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:91,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:92,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:95,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,Ignore_11,note,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:96,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:97,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:98,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:100,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,Ignore_11,note,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:101,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:102,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:104,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:105,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:106,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:107,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:108,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
dataset/front_running/ERC20.sol:110,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,Ignore_22,warning,Ignore_11,note,0,0,0,0,0,0,True
dataset/front_running/ERC20.sol:111,Ignore_40,error,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
