bug_id,SmartCheck_rule_id,SmartCheck_level,Oyente_rule_id,Oyente_level,Maian_rule_id,Maian_level,Conkas_rule_id,Conkas_level,Manticore_rule_id,Manticore_level,HoneyBadger_rule_id,HoneyBadger_level,Mythril_rule_id,Mythril_level,Osiris_rule_id,Osiris_level,Securify_rule_id,Securify_level,Solhint_rule_id,Solhint_level,Slither_rule_id,Slither_level,Value
dataset/access_control/unprotected0.sol:24:Ignore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ignore_3,error,0,0,0,0,False
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x77e8dF7f436Fdb8d6d3554de02526C39104f7B04_hashWithMulVarLenArg.sol:1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x77e8dF7f436Fdb8d6d3554de02526C39104f7B04_hashWithMulVarLenArg.sol:1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x77e8dF7f436Fdb8d6d3554de02526C39104f7B04_hashWithMulVarLenArg.sol:1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x77e8dF7f436Fdb8d6d3554de02526C39104f7B04_hashWithMulVarLenArg.sol:1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x77e8dF7f436Fdb8d6d3554de02526C39104f7B04_hashWithMulVarLenArg.sol:1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x0028b2ec9C4703F3C8F18e38AA02c047D7b8AE80_hashWithMulVarLenArg.sol:1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x0028b2ec9C4703F3C8F18e38AA02c047D7b8AE80_hashWithMulVarLenArg.sol:1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x0028b2ec9C4703F3C8F18e38AA02c047D7b8AE80_hashWithMulVarLenArg.sol:1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x0028b2ec9C4703F3C8F18e38AA02c047D7b8AE80_hashWithMulVarLenArg.sol:1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x0028b2ec9C4703F3C8F18e38AA02c047D7b8AE80_hashWithMulVarLenArg.sol:1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0xf30Cb0Ae1879b18dEb48932A8a6F362e5789EE01_hashWithMulVarLenArg.sol:1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0xf30Cb0Ae1879b18dEb48932A8a6F362e5789EE01_hashWithMulVarLenArg.sol:1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0xf30Cb0Ae1879b18dEb48932A8a6F362e5789EE01_hashWithMulVarLenArg.sol:1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0xf30Cb0Ae1879b18dEb48932A8a6F362e5789EE01_hashWithMulVarLenArg.sol:1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0xf30Cb0Ae1879b18dEb48932A8a6F362e5789EE01_hashWithMulVarLenArg.sol:1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x3171781bcfCd9E111225CDB42f33E856BA9F7A5a_hashWithMulVarLenArg.sol:1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x3171781bcfCd9E111225CDB42f33E856BA9F7A5a_hashWithMulVarLenArg.sol:1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x3171781bcfCd9E111225CDB42f33E856BA9F7A5a_hashWithMulVarLenArg.sol:1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x3171781bcfCd9E111225CDB42f33E856BA9F7A5a_hashWithMulVarLenArg.sol:1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x3171781bcfCd9E111225CDB42f33E856BA9F7A5a_hashWithMulVarLenArg.sol:1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x677a17406738e44BB58a8A04D6e18249deaAf355_hashWithMulVarLenArg.sol:1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x677a17406738e44BB58a8A04D6e18249deaAf355_hashWithMulVarLenArg.sol:1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x677a17406738e44BB58a8A04D6e18249deaAf355_hashWithMulVarLenArg.sol:1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x677a17406738e44BB58a8A04D6e18249deaAf355_hashWithMulVarLenArg.sol:1691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
dataset/huangGai/manualCheckDataset/hashWithMulVarLenArg/0x677a17406738e44BB58a8A04D6e18249deaAf355_hashWithMulVarLenArg.sol:1693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
