filename,basename,toolid,toolmode,parser_version,runid,exit_code,findings,infos,errors,fails
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,conkas,runtime,2022/11/11,github,0,"Reentrancy,Unchecked_Low_Level_Call",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,conkas,solidity,2022/11/11,github,0,"Reentrancy,Unchecked_Low_Level_Call",,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,ethainter,runtime,2022/11/17,github,0,,,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,ethor,runtime,2022/11/11,github,0,insecure,Encountered an unknown bytecode,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,honeybadger,runtime,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,honeybadger,solidity,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,madmax,runtime,2022/11/17,github,0,,,,
.github/sample/unchecked_return_value.hex,unchecked_return_value.hex,maian,bytecode,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,maian,runtime,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,maian,solidity,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,manticore-0.3.7,solidity,2022/11/17,github,0,,manticore.yml not found,,exception (manticore.exceptions.SolverError: Solver could not find a value for expression under current constraint set)
.github/sample/unchecked_return_value.hex,unchecked_return_value.hex,mythril-0.23.5,bytecode,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,Unchecked_return_value_from_external_call",,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,mythril-0.23.5,runtime,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,Unchecked_return_value_from_external_call",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,mythril-0.23.5,solidity,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,Unchecked_return_value_from_external_call",,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,osiris,runtime,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,osiris,solidity,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,oyente,runtime,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,oyente,solidity,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,pakala,runtime,2022/11/11,github,0,,,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,securify,runtime,2022/08/05,github,0,"MissingInputValidation,UnhandledException",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,securify,solidity,2022/08/05,github,0,"MissingInputValidation,UnhandledException",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,slither,solidity,2022/11/14,github,4,"external_function,low_level_calls",,EXIT_CODE_4,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,smartcheck,solidity,2022/11/14,github,0,"SOLIDITY_CALL_WITHOUT_DATA,SOLIDITY_UNCHECKED_CALL,SOLIDITY_UPGRADE_TO_050",,,
.github/sample/unchecked_return_value.sol,unchecked_return_value.sol,solhint,solidity,2022/11/14,github,1,indent,,EXIT_CODE_1,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,teether,runtime,2022/11/11,github,0,,No state-dependent critical path found,,
.github/sample/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,vandal,runtime,2022/11/17,github,0,"reentrantCall,uncheckedCall",Warning: Deprecated type declaration,,
