filename,basename,toolid,toolmode,parser_version,runid,exit_code,findings,infos,errors,fails
samples/simple_dao.rt.hex,simple_dao.rt.hex,conkas,runtime,2022/11/11,github,0,"Integer_Overflow,Integer_Underflow,Reentrancy,Unchecked_Low_Level_Call",,,
samples/simple_dao.sol,simple_dao.sol,conkas,solidity,2022/11/11,github,0,"Integer_Overflow,Reentrancy,Unchecked_Low_Level_Call",,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,conkas,runtime,2022/11/11,github,0,"Reentrancy,Unchecked_Low_Level_Call",,,
samples/unchecked_return_value.sol,unchecked_return_value.sol,conkas,solidity,2022/11/11,github,0,"Reentrancy,Unchecked_Low_Level_Call",,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,ethainter,runtime,2022/11/17,github,0,,,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,ethainter,runtime,2022/11/17,github,0,,,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,ethor,runtime,2022/11/11,github,0,insecure,Encountered an unknown bytecode,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,ethor,runtime,2022/11/11,github,0,insecure,Encountered an unknown bytecode,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,honeybadger,runtime,2022/11/11,github,0,Money_flow,,,
samples/simple_dao.sol,simple_dao.sol,honeybadger,solidity,2022/11/11,github,0,Money_flow,,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,honeybadger,runtime,2022/11/11,github,0,,,,
samples/unchecked_return_value.sol,unchecked_return_value.sol,honeybadger,solidity,2022/11/11,github,0,,,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,madmax,runtime,2022/11/17,github,0,,,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,madmax,runtime,2022/11/17,github,0,,,,
samples/simple_dao.hex,simple_dao.hex,maian,bytecode,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,maian,runtime,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/simple_dao.sol,simple_dao.sol,maian,solidity,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/unchecked_return_value.hex,unchecked_return_value.hex,maian,bytecode,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,maian,runtime,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/unchecked_return_value.sol,unchecked_return_value.sol,maian,solidity,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/simple_dao.sol,simple_dao.sol,manticore-0.3.7,solidity,2022/11/17,github,0,,,,"exception (manticore.core.state.Concretize),exception (manticore.exceptions.ManticoreError: Forking on unfeasible constraint set)"
samples/unchecked_return_value.sol,unchecked_return_value.sol,manticore-0.3.7,solidity,2022/11/17,github,0,,manticore.yml not found,,exception (manticore.exceptions.SolverError: Solver could not find a value for expression under current constraint set)
samples/simple_dao.hex,simple_dao.hex,mythril-0.23.5,bytecode,2022/11/11,github,0,"Exception_State,External_Call_To_User_Supplied_Address,State_access_after_external_call,Unchecked_return_value_from_external_call,Unprotected_Ether_Withdrawal",,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,mythril-0.23.5,runtime,2022/11/11,github,0,"Exception_State,External_Call_To_User_Supplied_Address,State_access_after_external_call,Unchecked_return_value_from_external_call,Unprotected_Ether_Withdrawal",,,
samples/simple_dao.sol,simple_dao.sol,mythril-0.23.5,solidity,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,State_access_after_external_call,Unchecked_return_value_from_external_call,Unprotected_Ether_Withdrawal",,,
samples/unchecked_return_value.hex,unchecked_return_value.hex,mythril-0.23.5,bytecode,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,Unchecked_return_value_from_external_call",,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,mythril-0.23.5,runtime,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,Unchecked_return_value_from_external_call",,,
samples/unchecked_return_value.sol,unchecked_return_value.sol,mythril-0.23.5,solidity,2022/11/11,github,0,"External_Call_To_User_Supplied_Address,Unchecked_return_value_from_external_call",,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,osiris,runtime,2022/11/11,github,0,"Callstack_bug,Overflow_bugs,Reentrancy_bug,Underflow_bugs",,,
samples/simple_dao.sol,simple_dao.sol,osiris,solidity,2022/11/11,github,0,"Callstack_bug,Overflow_bugs,Reentrancy_bug,Underflow_bugs",,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,osiris,runtime,2022/11/11,github,0,,,,
samples/unchecked_return_value.sol,unchecked_return_value.sol,osiris,solidity,2022/11/11,github,0,,,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,oyente,runtime,2022/11/11,github,1,"Callstack_Depth_Attack_Vulnerability,Re_Entrancy_Vulnerability",,,
samples/simple_dao.sol,simple_dao.sol,oyente,solidity,2022/11/11,github,1,"Callstack_Depth_Attack_Vulnerability,Integer_Overflow,Re_Entrancy_Vulnerability",,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,oyente,runtime,2022/11/11,github,0,,,,
samples/unchecked_return_value.sol,unchecked_return_value.sol,oyente,solidity,2022/11/11,github,0,,,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,pakala,runtime,2022/11/11,github,0,,,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,pakala,runtime,2022/11/11,github,0,,,,
samples/simple_dao.rt.hex,simple_dao.rt.hex,securify,runtime,2022/11/17,github,0,"DAO,MissingInputValidation,UnhandledException",,,
samples/simple_dao.sol,simple_dao.sol,securify,solidity,2022/11/17,github,0,"DAO,MissingInputValidation,UnhandledException",,,
samples/unchecked_return_value.rt.hex,unchecked_return_value.rt.hex,securify,runtime,2022/11/17,github,0,"MissingInputValidation,UnhandledException",,,
