Contract,Lines,Categories
./dataset/bad_randomness/smart_billions.sol,523,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,560,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,700,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,702,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,704,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,706,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,708,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,710,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,712,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,714,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,716,BAD_RANDOMNESS
./dataset/bad_randomness/smart_billions.sol,718,BAD_RANDOMNESS
