filename,basename,toolid,toolmode,parser_version,runid,exit_code,findings,infos,errors,fails
samples/SimpleDAO.sol,SimpleDAO.sol,confuzzius,solidity,2022/12/31,github,0,,,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,conkas,runtime,2022/11/11,github,0,"Integer_Overflow,Integer_Underflow,Reentrancy,Unchecked_Low_Level_Call",,,
samples/SimpleDAO.sol,SimpleDAO.sol,conkas,solidity,2022/11/11,github,0,"Integer_Overflow,Reentrancy,Unchecked_Low_Level_Call",,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,ethainter,runtime,2022/11/17,github,0,,,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,ethor,runtime,2022/11/11,github,0,insecure,Encountered an unknown bytecode,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,honeybadger,runtime,2023/02/13,github,0,Money_flow,,,
samples/SimpleDAO.sol,SimpleDAO.sol,honeybadger,solidity,2023/02/13,github,0,Money_flow,,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,madmax,runtime,2022/11/17,github,0,,,,
samples/SimpleDAO.hex,SimpleDAO.hex,maian,bytecode,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,maian,runtime,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/SimpleDAO.sol,SimpleDAO.sol,maian,solidity,2022/11/11,github,0,"No_Ether_lock_Ether_refused,Not_destructible_no_self_destruct",,,
samples/SimpleDAO.sol,SimpleDAO.sol,manticore-0.3.7,solidity,2022/11/17,github,0,,,,"exception (manticore.core.state.Concretize),exception (manticore.exceptions.ManticoreError: Forking on unfeasible constraint set)"
samples/SimpleDAO.hex,SimpleDAO.hex,mythril-0.23.15,bytecode,2023/01/20,github,1,"Exception_State_SWC_110,External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107,Unchecked_return_value_from_external_call_SWC_104,Unprotected_Ether_Withdrawal_SWC_105",,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,mythril-0.23.15,runtime,2023/01/20,github,1,"Exception_State_SWC_110,External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107,Unchecked_return_value_from_external_call_SWC_104,Unprotected_Ether_Withdrawal_SWC_105",,,
samples/SimpleDAO.sol,SimpleDAO.sol,mythril-0.23.15,solidity,2023/01/20,github,1,"External_Call_To_User_Supplied_Address_SWC_107,State_access_after_external_call_SWC_107,Unchecked_return_value_from_external_call_SWC_104,Unprotected_Ether_Withdrawal_SWC_105",,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,osiris,runtime,2023/02/13,github,0,"Callstack_bug,Overflow_bugs,Reentrancy_bug,Underflow_bugs",,,
samples/SimpleDAO.sol,SimpleDAO.sol,osiris,solidity,2023/02/13,github,0,"Callstack_bug,Overflow_bugs,Reentrancy_bug,Underflow_bugs",,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,oyente,runtime,2023/02/13,github,1,"Callstack_Depth_Attack_Vulnerability,Re_Entrancy_Vulnerability",,,
samples/SimpleDAO.sol,SimpleDAO.sol,oyente,solidity,2023/02/13,github,1,"Callstack_Depth_Attack_Vulnerability,Integer_Overflow,Re_Entrancy_Vulnerability",,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,pakala,runtime,2022/11/11,github,0,,,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,securify,runtime,2022/11/17,github,0,"DAO,MissingInputValidation,UnhandledException",,,
samples/SimpleDAO.sol,SimpleDAO.sol,securify,solidity,2022/11/17,github,0,"DAO,MissingInputValidation,UnhandledException",,,
samples/SimpleDAO.sol,SimpleDAO.sol,sfuzz,solidity,2023/01/27,github,0,"Exception_Disorder,Reentrancy",,,
samples/SimpleDAO.sol,SimpleDAO.sol,slither,solidity,2022/11/14,github,6,"external_function,low_level_calls,reentrancy_eth,solc_version",,EXIT_CODE_6,
samples/SimpleDAO.sol,SimpleDAO.sol,smartcheck,solidity,2022/11/14,github,0,"SOLIDITY_CALL_WITHOUT_DATA,SOLIDITY_PRAGMAS_VERSION,SOLIDITY_UPGRADE_TO_050,SOLIDITY_VISIBILITY",,,
samples/SimpleDAO.sol,SimpleDAO.sol,solhint-3.3.8,solidity,2023/02/12,github,1,"avoid_call_value,avoid_low_level_calls,compiler_version,func_visibility,no_unused_vars",,EXIT_CODE_1,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,teether,runtime,2022/11/11,github,0,,Could not exploit any RETURN+CALL,,
samples/SimpleDAO.rt.hex,SimpleDAO.rt.hex,vandal,runtime,2022/11/17,github,0,"reentrantCall,uncheckedCall",Warning: Deprecated type declaration,,
